1;Date;Aceh;Bali;Banten;Babel;Bengkulu;DIY;Jakarta;Jambi;Jabar;Jateng;Jatim;Kalbar;Kaltim;Kalteng;Kalsel;Kaltara;Kep Riau;NTB;Sumsel;Sumbar;Sulut;Sumut;Sultra;Sulsel;Sulteng;Lampung;Riau;Malut;Maluku;Papbar;Papua;Sulbar;NTT;Gorontalo
2;18-Mar;0;1;17;0;0;3;158;0;24;8;8;2;1;0;0;0;1;0;0;0;1;1;0;0;0;1;1;0;0;0;0;0;0;0
3;19-Mar;0;1;27;0;0;5;210;0;26;12;9;2;3;0;0;0;3;0;0;0;1;2;3;2;0;1;2;0;0;0;0;0;0;0
4;20-Mar;0;4;37;0;0;4;215;0;41;12;15;2;10;2;0;0;4;0;0;0;1;2;3;2;0;1;1;0;0;0;0;0;0;0
5;21-Mar;0;3;43;0;0;5;267;0;55;14;26;2;9;2;0;0;4;0;0;0;1;2;3;2;0;1;1;0;0;0;0;0;0;0
6;22-Mar;0;3;47;0;0;5;307;0;59;15;41;2;9;2;1;0;4;0;0;0;1;2;3;2;0;1;1;0;1;0;2;0;0;0
7;23-Mar;0;6;56;0;0;5;353;1;59;15;41;2;11;2;1;0;5;0;0;0;1;2;3;2;0;1;1;1;1;0;2;0;0;0
8;24-Mar;0;6;65;0;0;6;424;1;60;19;51;3;11;3;1;0;5;1;1;0;2;7;3;4;0;1;2;1;1;0;3;0;0;0
9;25-Mar;0;9;67;0;0;17;463;1;73;38;51;3;11;3;2;0;5;2;1;0;2;7;3;13;0;1;1;1;1;0;3;0;0;0
10;26-Mar;1;9;67;0;0;16;515;1;78;40;59;3;11;6;1;0;5;2;1;3;2;8;3;27;1;3;2;1;1;0;7;0;0;0
11;27-Mar;4;9;84;0;0;22;598;1;98;43;66;3;11;6;1;0;5;2;1;5;2;8;3;29;1;4;1;1;1;2;7;0;0;0
12;28-Mar;4;9;103;0;0;22;627;1;119;55;77;3;17;7;1;2;5;2;2;5;2;8;3;33;2;4;1;1;1;2;7;0;0;0
13;29-Mar;5;10;106;0;0;22;675;1;149;63;90;8;17;7;1;2;5;2;2;5;2;8;3;47;2;4;2;1;1;2;9;1;0;0
